customer_tweet_id,customer_text,amazon_reply_text,rough_intent,requests_escalation,intent_confirmed,relevant,concrete_actionable,resolves_forward,overall_quality,notes
2806640,"I think amazon delivered my order to the wrong mailbox and imma cry, i need it for thanksgiving 😩😩😩😩",@782783 I'm sorry for the trouble! I know how frustrating this can be. What is the latest status update for your order: https://t.co/Y5jpI9ys9c ^LR,Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
2924535,"Seriously, @AmazonHelp, why am I even paying for Prime? Saying “we’re sorry your package will be late” doesn’t really fix anything. https://t.co/b1nceQMfdN","@434727 I'm sorry for the frustration! We'd like to assist. Without providing any order/personal information, are you having an issue with a current order as well? ^SJ",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,No,Yes,Acceptable,
210424,@165806 @115850 @121294 Mine screen broken but not replaced in last 40 days nobody bother to address the issue,@219448 I'm sorry about this experience. Have you reported it to our support team here: https://t.co/2t6DQoUmNZ? ^GD,Wrong / Missing / Damaged Item,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,
319712,@AmazonHelp @115850 15 days past but nither received product nor refunded money to my account from Amazon.,@192220 Sorry for the stretch. Please revert our email for further updates. ^HA,Refund / Billing / Charge Dispute,False,Refund / Billing / Charge Dispute,Yes,No,No,Poor,"Vague 'revert our email', no specifics"
337437,@115830 @129773 @AmazonHelp  wanted to settle down and watch Arrival... where are the subtitles?,"@196521 Hey there, which device are you streaming from? Here's how you can turn them on in app: https://t.co/GTAymnS0jA ^DW",App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
2390398,"@115850 order no 408-5653703-6268348, 1 pc was defective, got replacement n have confident that it will work so i didn't check also i was travelling. Today i check the pc and didn't working also my retrun date was lapsed (13th nov), CC team put me on hold for 30 min n solu help",@688594 I'm sorry to hear about the experience you've had with the delivery of the recent order. Let me work on this right away. Kindly fill in your details here https://t.co/ZSCESkOOUe and we'll reach out to you for assistance. (1/2) ^VM,Wrong / Missing / Damaged Item,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,Fragment marker (1/2) but has real substance
2391837,@115850 ord no:406-5494715-4837112 my sis purchased it wantd 2 return. PFA img this is hw I got it. Filed claim no response frm seller 1/n https://t.co/bVpmwIC0il,"@688852 I'm sorry that you received a damaged item. As you mentioned that you've filed the claim, it should be processed within 1-2 weeks from the date it was submitted. Do let us know if we have missed the time frame. ^AM",Marketplace / Seller / Pricing Issue,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,
1689315,@115850 @AmazonHelp Today you have lost another customer. Fed up of your delivery standards. No commitment from customer service too.,@512912 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
177393,@115821 That shipping was delayed 2-3 days. A few months ago I also pre ordered a book that was suppose to get to me the day of it’s released and again I didn’t get it in time. I didn’t care but this is the second time a delay has happened so I called and emailed to ask what happened,"@157767 I can only apologise for this occasion, if it were available we surely would have replaced. Did you receive the book from your last order? ^KI",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,No,No,Poor,"Just a clarifying question, no real action"
1222599,@115821 seriously disappointed in your lack of security. My account was hacked and nobody is in a hurry to help me :(,@406884 I'm so sorry this happened. We would love to help you with this. Have you received a message from an Account Specialist?^AY,Account Access Issue,False,Account Access Issue,Yes,No,No,Poor,"No link or concrete next step, just a status check question"
2736276,I'd really like to know why my @116935 quick access options aren't showing up.,"@766786 Thank you for reaching out to us! Are you accessing from your computer or from the app? If you are accessing from the app, check to see if it is updated. Keep us posted. 
^AV",General Inquiry / Feedback,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
543561,@UPSHelp @AmazonHelp please read above. The issue is on your end.,"@246250 Thank you for contacting us, Jayme! I am sorry you have not received your package. We are here to help! Just to clarify, can you tell us what the current order status is showing here: https://t.co/Y5jpI9gRhE ^SC",General Inquiry / Feedback,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
566597,@AmazonHelp I filed out link it stated I will have response within 12 hours.  That’s not real time.,"@252844 For live help, please select chat or phone. That will be most effective for troubleshooting. ^AM",App / Digital Content / Technical Issue,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
393112,@115821 how do i put it so when i buy something i have to put password in on firestick as my son keeps buying stuff without me knowing,"@209095 We're happy to help! For details on how to set up an Amazon Video PIN, please see here: https://t.co/PDhmlcy01g ^CO",Account Access Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
2403888,I don't know why @116316  Prime in Belgium isn't being carried out by @37596. @132988 isn't as fast (and not as good as Bpost).,@691496 Thanks for your feedback. I'll pass this on to the department responsible. ^RS,General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,No,No,Poor,"Generic 'pass it on', no real action"
2884210,"@AmazonHelp that screenshot is all it says when I click into it, it currently also says “arriving today” - it’s said that since yesterday morning, also said it on Thursday.",@133008 Could you please contact us so that we can look into this further for you? You can reach us here: https://t.co/oGDklGgbCZ. ^PJ,General Inquiry / Feedback,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
1427378,@116439 How come I have to replace the batteries in my fire TV remote every other day?,@451573 I'm sorry for the trouble with your Fire TV remote! Please contact us here: https://t.co/hApLpMlfHN ^MO,Wrong / Missing / Damaged Item,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
1664433,"@115850 I need to change my delivery location, no way to speak with someone to change. Can someone call me or sort this for me online?",@507252 Kindly contact our support team here: https://t.co/rS49hgaADF so that we can assist you accordingly. 2/2 ^VH,Delivery Delay / Non-Delivery,True,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,Customer also requests callback (escalation signal)
1326848,"@AmazonHelp Thanks 

I fixed via remove app, reinstall app &amp; re-authenticate account.  

https://t.co/5YIvmyfCfN…","@429587 Thant's good to hear, thanks for the update. ^JJ",App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,"Issue already self-resolved by customer, appropriate closing reply"
77337,@AmazonHelp The order is sold by Amazon. Thank you,"@133240 Thanks for confirming, Steffan! Please allow for delivery by 21:00 on the new estimated delivery date. Otherwise, we'll be happy to research other options via phone or chat here: https://t.co/JzP7hlA23B. I hope this helps! ^SD",Marketplace / Seller / Pricing Issue,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
2848950,@109136 Any input @AmazonHelp? Firefox is showing the same screen now.,@792267 We won't ask for your SSN. If applying for a payment card (e.g. Visa card or store card) you may be prompt to provide personal information. ^MG,General Inquiry / Feedback,False,App / Digital Content / Technical Issue,No,No,No,Poor,Reply about SSN/payment card seems mismatched with customer's Firefox screen issue - likely pairing mismatch
470874,"@AmazonHelp You  have all my details.  You can check my account from anywhere. Why can't you accept that your are making terrible mistakes. Just to skip from public embarrassment, you want to discussed over Amazon app, which I already done. After making more than 10 complaints 1/2","@226945 I understand you're upset with the concern. Twitter being a social media platform, we cannot access your Amazon account via Twitter. Please reply to the email you've received from our team and we'll reach out to you soon. ^AP",App / Digital Content / Technical Issue,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,Fragment marker on customer side (1/2)
2469391,@AmazonHelp Just did that it keeps saying i only can watch stuff on the dam website if it still doing this by tomorrow im cancelling as not going pay for something thats not working,"@706420 Hi Barry, can you please reach out to us directly via the following so that we can troubleshoot in real time?:   https://t.co/JzP7hlA23B ^KI",App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
62195,@115821 I'm home alone with a two year old. Delivery person left these downstairs ? Mind you they're heavy and there's an elevator! https://t.co/e44bZxEPhn,"@130243 I'm sorry for the frustration! We'd like to better understand what happened, is this an apartment hallway or mail room? ^CC",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,No,No,Poor,"Just a clarifying question, no action"
2545412,"@115850 Defective prduct parceled ord 7 size shoe,got 6 sze fr left leg n 7 fr right leg,instead asking vendor fr blunder amz asking me to refund it","@181629 My apologies for the inconvenience caused with the order, Rajkumar. Please fill in your details here: https://t.co/6EHXc9kkAM and we will get back to you at the earliest. ^KS",Wrong / Missing / Damaged Item,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,
2827961,"@AmazonHelp Just checked, benefits were not used in both October and November, but you are only refunding for Nov. What about refunding the October membership fee?","@153141 I'd like for a member of our team to look into this for you. Reach out to us here https://t.co/hApLpMlfHN via phone or chat. We're here to help.
^AV",Refund / Billing / Charge Dispute,False,Refund / Billing / Charge Dispute,Yes,Yes,Yes,Good,
2310963,Hey @115830 please pay my seller funds which has been held for over 115 days! __email__ https://t.co/MYuq5R82Hn,"@670229 I'm sorry you're having this issue. Without giving us any person account information, could you tell us a little more about what's going on? ^AY",Marketplace / Seller / Pricing Issue,False,Marketplace / Seller / Pricing Issue,Yes,No,No,Poor,"No link or concrete step, just a question"
2132875,@117795 @AmazonHelp hey I have prime - if I want to get narcos it’s Netflix - do I have to pay extra to watch these?  Also says watch with 30day free trail but I’ve already got an account? Help explain xx,@175913 You can find the eligibility requirements here: https://t.co/13oDOz7Lhq. Are you logged into the correct account? ^TG,Refund / Billing / Charge Dispute,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
1996326,@AmazonHelp It is outside the 30 days and I've already contacted your chat people who assured me they would sort it out but the seller refused and the return has been closed very frustrating,"@590302 When you spoke to our customer service team on the chat service, what resolution was offered to you please?^GA",Marketplace / Seller / Pricing Issue,False,Refund / Billing / Charge Dispute,Yes,No,No,Poor,"Just a clarifying question, no new action"
129223,@AmazonHelp I don't know..... Coz 5 minutes back it was on hold and after i mailed to __email__ ...now i got message in my app that my refund is processed... Does it means now my account is unholded?,"@145094 As you've sent an email to our account specialist team, they'll reach out to you with updates on your account. ^AP",Refund / Billing / Charge Dispute,False,Refund / Billing / Charge Dispute,Yes,No,Yes,Acceptable,
1128096,"@AmazonHelp your warehouse deals are a joke. I paid £116 for item with no stand, rattling sound, no remote or anything! Angry 😡","@258142 Hey, normally it tells you on the product details page exactly what is missing with the item. ^AS",General Inquiry / Feedback,False,Wrong / Missing / Damaged Item,Yes,No,No,Poor,"Somewhat dismissive, no offer to fix now"
131779,@AmazonHelp That someone would email me with an update in 2 business days. (I spoke to them on phone).  That was a month ago -told the same 4 days ago - still waiting! It is a known issue apparently but have had this nearly a month now and it's not fixed.  It DOES NOT work with @7830,"@145713 Hi, really sorry to hear this! This is not the service we want our customers to experience. Can you please contact us via this link: https://t.co/JzP7hlA23B. We would like to investigate this issue further. Let us know how you get on! ^JC.",General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
2534482,@115850 A story of my experience with Amazon. I posted a review on this product and Amazon refused to post my review also. I have given images of the product I ordered and product I received also. https://t.co/VH7o2HTw49,"@721139 We'd like to check this for you. Please share your details here: https://t.co/beaaDm0muc and we'll contact you soon.
Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SY",General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
2678093,@115833 Care to solve this problem with Bluetooth disconnection after two seconds between Echo and OP 5 devices? Looks like sporadic issue https://t.co/wrQYtWGp4U,"@753648 Hello! Thanks for reaching out to us. When you get a moment, please check out this help page for troubleshooting steps: https://t.co/4o5Hy5sfQn Please let us know if you have further questions! ^SW",App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
17220,@AmazonHelp None of your links are taking me to a solution. Been after this since 3 days. Most pathetic service ever. You guys shall call me ASAP! (1/2),@119793 Please add an email address to your account and then continue to fill the form. Appreciate your patience. ^RW,General Inquiry / Feedback,True,Account Access Issue,Yes,Yes,Yes,Good,Customer also requests callback (escalation signal)
494975,@115821 So my account got hacked into. I am not able to login and in spite of changing my password multiple times it keeps saying password is wrong. Now I get a notification that email has been changed as well. Cant talk to anyone customer service says they need to fill a form!,@233038 I'm so sorry for the account troubles. I know this sort of thing can be especially frustrating at the Holidays and we'd like to help! Please give us a call so we can check on that escalation without having to sign in here: https://t.co/jzvkhdlrK5 ^SG,Account Access Issue,False,Account Access Issue,Yes,Yes,Yes,Good,
1808133,Hey @115821. Why do I pay extra for next day when it takes you 4 days to ship. https://t.co/aRvek1Gbtv,@164460 So sorry! Was the 31st the date that was quoted when checking out? You can find that date here: https://t.co/Y5jpI9gRhE ^LS,Refund / Billing / Charge Dispute,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
1339867,@AmazonHelp Can your drivers not knock on the door instead of forcing parcels through my letter box? Parcel is now damaged 🙄,@170769 Oh no! We'd love to help in any way we can. Please click here so we can look into some options: https://t.co/JzP7hlA23B ^NM,Wrong / Missing / Damaged Item,False,Wrong / Missing / Damaged Item,Yes,Yes,Yes,Good,
93731,"I’d rather be told my package is coming in 3-5 business days, rather than being lied to about my package coming on a specific date @115821. You guys have been HORRIBLE","@136319 I'm sorry for any trouble. Are you having issues with a current order? If so, what's the latest tracking show: https://t.co/3TfD7ye2UH? ^SH",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,
759749,@AmazonHelp Thanks I've submitted a query via the link,@301534 Anytime! Thank you for the update. Let us know if you have any other questions or concerns. ^AL,App / Digital Content / Technical Issue,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,Already-resolved closing exchange
341548,@115850 Sony passive 3-D tv glasses.. Actual price is Rs.349 FRAUD AMAZON INDIA 😡😡 #AmazonIndia https://t.co/0WFy7mpxmW,@380096 link in the Product Details section of any product page. 3/3 ^RS,Marketplace / Seller / Pricing Issue,False,Marketplace / Seller / Pricing Issue,No,No,No,Poor,"Fragment (3/3), no context"
64222,"@AmazonHelp Your assistance cannot cannect me,
Can't cannect on costumer care. Facing so many problem,
Than I using social media platform, tell your assistant to contact me, on call or email",@130737 Sorry to know that you're facing trouble in reaching out to our support team. Kindly drop in your details here: https://t.co/beaaDm0muc and we'll get back to you with an update at the earliest. ^EM,General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
1901983,@AmazonHelp the Amazon app isn't loading any products! DownDetector says lots of people sre reporting issues lately...,"@566830 Hi, sorry to hear that. Have you tried uninstalling and downloading the app again? ^JJ",App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
2198850,Just received my @116439 in Canada. Anyone else having issues with the YouTube app? Video and sound are noticeably off #amazon #amazonfiretv #firestick,@643153 Thanks for reaching out. Let's try these troubleshooting steps here: https://t.co/ggBt3LTzEK and let us know if the issue continues. ^GG,App / Digital Content / Technical Issue,False,App / Digital Content / Technical Issue,Yes,Yes,Yes,Good,
2110993,@AmazonHelp I have now contacted the Web chat and they have sorted it for me,@622700 Awesome! So glad we could get everything taken care of for you! We are always here to help! ^AD,General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,Already-resolved closing exchange
1200824,@115850 not received order no 171-7360326-1361943. False promise for replacement by associate login id MYQNISH52. Poor customer support.,@402152 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you at the earliest. (2/3)^VH,Wrong / Missing / Damaged Item,False,Delivery Delay / Non-Delivery,Yes,Yes,Yes,Good,Fragment marker (2/3) but has real substance
679071,Shout out to amazon for screwing me over EVERY time I order anything. Charged me twice and now my account is in the negatives. 🙃 https://t.co/eg4PTOTgEg,"@282036 Sorry to hear this Samantha. It sounds like it might be authorization charges that you are seeing. For more info on this, please click the link: https://t.co/0Zb9BvsX80 ^BZ",Refund / Billing / Charge Dispute,False,Refund / Billing / Charge Dispute,Yes,Yes,Yes,Good,
307892,@115821 i just had one question that if the product has been returned then how much time it takes to refund the amount that has been paid?,"@189511 The product may take 5-7 days to return to our center, request you to wait till the same for refund. ^SQ",Refund / Billing / Charge Dispute,False,Refund / Billing / Charge Dispute,Yes,Yes,Yes,Good,
2492185,@115821 @AmazonHelp are you guys serious? Can someone ELSE please assist https://t.co/zJ3A3ltaSd,@711498 I am so sorry for the poor service you received when you contacted us. We're unable to take direct action to on your order via Twitter. I would suggest contacting us again via chat or phone to be connected to a new representative here:  https://t.co/hApLpMlfHN ^GS,General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
1681795,@115850 recurring problem-delivery boys have my number and call incessantly. Why can't they just deliver? Pls STOP sharing my number. DND.,"@511304 However, I have forwarded your comments as feedback to our concerned team internally. We'll get it reviewed. 2/2 ^RI",Delivery Delay / Non-Delivery,False,Delivery Delay / Non-Delivery,Yes,No,No,Poor,"Just forwards feedback internally, no direct fix"
2459211,@AmazonHelp Mail me again at __email__ coz I didn't get any mail,"@410967 Do check with your registered email address with Amazon. You should spot a response from our social media team. In case, you din't drop your details here: https://t.co/cllwXc2HeK We'll get in touch with you. ^RB",General Inquiry / Feedback,False,General Inquiry / Feedback,Yes,Yes,Yes,Good,
435722,@AmazonHelp Yes I did receive mails. You had asked 24-48 hrs which already password. None of you mail said about solution of my issue except buying time,"@218501 As this is a social media platform, we can't view your order details.  Hence, please respond to the email(1/2)^HR",Account Access Issue,False,General Inquiry / Feedback,No,No,No,Poor,"Fragment (1/2), vague redirect, no substance"
