customer_tweet_id,customer_text,amazon_reply_text,drafted_reply,orig_relevant,orig_concrete_actionable,orig_resolves_forward,orig_overall_quality,draft_relevant,draft_concrete_actionable,draft_resolves_forward,draft_overall_quality
2634819,"@AmazonHelp Well, they did. But at the same time I was getting contradicting answers from your staff. Some of them told me my delivery was missorted by the carrier and will never be delivered. That makes sense because the carrier DHLPL says they do not have it.","@743836 I am sorry this is happening! When you have a moment, please reach out to us here so that we can have a specilaist take a look into this for you: https://t.co/SsKYkxOQPg ^SM",@AmazonHelp Which carrier is assigned to your order? You can check here: https://t.co/Y5jpI9gRhE ^BH,Yes,Yes,Yes,Good,Yes,Yes,Yes,Good
2318799,"@115850 in having trouble with my accounts, Prime and login who should I write too, how does get it resolved.","@672157 Sorry to hear that you had trouble logging-in to your account, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",@115850 Please connect with us here: https://t.co/vlvfJr4nN9 so we can resolve your account and Prime issues. ^SB,Yes,Yes,Yes,Good,Yes,No,No,Poor
986048,What kind of offers are these? Increasing the official price and reducing to show discounts? @115850 https://t.co/swfgvagZtN,@132467 Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you (1/2) ^GS,@123456 We're unable to access the link you've provided. Kindly help us with a correct link. ^SU,Yes,No,No,Poor,No,Yes,Yes,Acceptable
867348,@115821 can you tell me why I pay for prime when the last three things I’ve ordered with two days shipping have taken 4+ days to get here?,@325949 I am sorry about that! What was the delivery date for each order? You can view the details here: https://t.co/Y5jpI9gRhE ^SH,@123457 Hi! Could you confirm the delivery date that was provided in your order confirmation email? You can find it here: https://t.co/Y5jpI9gRhE? ^AL,Yes,Yes,Yes,Good,Yes,Yes,Yes,Good
169630,Yet again my @115821 account has been hacked by someone else... 2 times in 6 months this has happened to me! Maybe it’s time to get Better protection @115821. I will not be using them EVER again!!!,"@155503 I'm very sorry about the frustration with your account! We'd like to look into this further. When you have a free moment, please reach out to us here: https://t.co/jzvkhdlrK5 ^HM",@123458 Sorry to hear about the security issue. Could you let us know which email address is currently registered to your account? You can also review our security guide here: https://t.co/nUUp5MLhYl ^NV,Yes,Yes,No,Acceptable,Yes,Yes,Yes,Good
339910,"@AmazonHelp do you price match online? i see braun clean/renew refills 3pack for $21 at amazon, and at other sites for $15, same product","@197173 No, Amazon doesn't offer price matching. I'm sorry for any inconvenience. ^AM",@123456 Pricing is set by the seller based on manufacturer input. We don't price match. ^VH,Yes,No,Yes,Acceptable,Yes,No,Yes,Acceptable
340522,@AmazonHelp I had 2 things suppose to be delivered today that we’re out from facility will I get them? It’s for bday party tomorrow!!!,@197331 I'm sorry your order hasn't arrived yet! Who was the carrier for the order? Check : https://t.co/kjLhthICw2. Let us know! ^KJ,@123456 Great question! Deliveries can be made up until 21:00! Please let us know if you don't receive yours by this time. ^KJ,Yes,Yes,Yes,Good,Yes,Yes,No,Acceptable
779948,@AmazonHelp The reordered piece is again a damaged item,@306231 Sorry for the trouble you've had. Kindly revert to the email you've received from our team for further assistance. ^MM,@123456 I'm sorry your replacement arrived damaged. Please reach us here: https://t.co/hApLpMlfHN ^AG,Yes,No,No,Poor,Yes,Yes,No,Acceptable
423535,"@10265 I have booked few item from @115850 @AmazonHelp 171 2507067 9234757 order id.
Has been refuse to deliver at home.","@199456 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MM",@10265 I'm sorry to hear about the delivery issue. Please contact us here: https://t.co/rS49hgaADF so we can look into your order(s) and arrange a delivery. ^SA 1/2,No,Yes,No,Poor,Yes,Yes,No,Acceptable
722113,"@AmazonHelp Explain this. Shipped on a Tuesday but won't deliver till Friday, when originally promised Thursday. It's Prime. Why not 2days https://t.co/XMq4FLuobN","@188699 I'm sorry, we don't have account access via Twitter, but we'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^MV","Hi @AmazonHelp, the dispatch period can take a couple of days. Prime delivery is one day from carrier receiving it. Check your order status to see if it was with the carrier by Tuesday night. If not, it will be delivered on Friday. ^TD",Yes,Yes,Yes,Good,Yes,Yes,No,Acceptable
